Time(s),Axial drift (nm)
65.291503,-8.879574
65.389685,-5.958421
65.487868,-10.511840
65.586051,-21.425595
65.684233,-15.847267
65.782416,-22.567826
65.880599,-24.775338
65.978782,-17.006709
66.076964,-24.615755
66.175147,-21.210652
66.273330,-15.464427
66.371512,-25.089380
66.469695,-16.942718
66.567878,-12.609622
66.666061,-13.234209
66.764243,-7.487169
66.862426,-23.258839
66.960609,-22.251284
67.058791,-19.121061
67.156974,-18.924537
67.255157,-13.331838
67.353340,-10.663818
67.451522,0.792180
67.549705,-18.202140
67.647888,-20.477044
67.746070,-4.677254
67.844253,-7.197263
67.942436,1.092462
68.040619,-17.931558
68.138801,-4.139688
68.236984,-13.296418
68.335167,-13.998927
68.433349,-0.311999
68.531532,-5.038485
68.629715,-9.923398
68.727898,-11.173166
68.826080,-17.931467
68.924263,-12.807263
69.022446,-13.504332
69.120628,-13.622404
69.218811,-10.424467
69.316994,-11.457083
69.415177,-0.136113
69.513359,-3.161646
69.611542,-8.528284
69.709725,-10.674607
69.807907,-14.648599
69.906090,-17.603147
70.004273,-12.104501
70.102455,-17.445040
70.200638,-36.643089
70.298821,-28.405675
70.397004,-32.413477
70.495186,-18.502184
70.593369,-36.085284
70.691552,-27.508357
70.789734,-38.639057
70.887917,-36.883524
70.986100,-7.504070
71.084283,-10.618225
71.182465,-23.828658
71.280648,-27.911291
71.378831,-22.207040
71.477013,-22.901073
71.575196,-7.696506
71.673379,-32.236620
71.771562,-27.992062
71.869744,-23.643344
71.967927,-25.376816
72.066110,-33.738445
72.164292,-21.721642
72.262475,-37.047768
72.360658,-22.457801
72.458841,-25.037000
72.557023,-34.459792
72.655206,-21.727010
72.753389,-23.066085
72.851571,-23.066618
72.949754,-19.708555
73.047937,-18.431777
73.146120,-15.877690
73.244302,-9.739192
73.342485,-15.558099
73.440668,-21.997676
73.538850,-9.787969
73.637033,-12.360415
73.735216,-15.689024
73.833398,-6.300145
73.931581,-29.149919
74.029764,-23.524792
74.127947,-28.209215
74.226129,-24.950793
74.324312,-26.321161
74.422495,-12.578008
74.520677,-15.791189
74.618860,-7.641692
74.717043,-14.668222
74.815226,-10.756521
74.913408,-14.699383
75.011591,-23.668274
75.109774,-26.683062
75.207956,-15.741923
75.306139,-22.364416
75.404322,-11.431792
75.502505,-13.161925
75.600687,-19.295604
75.698870,-9.035533
75.797053,-10.486130
75.895235,-30.778812
75.993418,-17.171898
76.091601,-29.493260
76.189784,-29.974800
76.287966,-28.073847
76.386149,-33.499290
76.484332,-34.480099
76.582514,-46.647119
76.680697,-43.325938
76.778880,-45.552439
76.877063,-49.546305
76.975245,-49.248203
77.073428,-34.401084
77.171611,-54.600751
77.269793,-53.306980
77.367976,-43.172381
77.466159,-42.995501
77.564341,-13.328318
77.662524,-24.492975
77.760707,-27.998340
77.858890,-40.283714
77.957072,-47.788175
78.055255,-28.098055
78.153438,-33.884445
78.251620,-28.534960
78.349803,-26.625768
78.447986,-28.814047
78.546169,-32.319853
78.644351,-14.374027
78.742534,-16.220686
78.840717,-38.912094
78.938899,-29.446600
79.037082,-37.460536
79.135265,-35.980092
79.233448,-25.370091
79.331630,-19.479039
79.429813,-32.293817
79.527996,-50.640412
79.626178,-48.965693
79.724361,-42.820243
79.822544,-53.197330
79.920727,-51.006940
80.018909,-46.352141
80.117092,-48.207674
80.215275,-51.528772
80.313457,-38.510836
80.411640,-37.116218
80.509823,-47.532777
80.608006,-44.201706
80.706188,-41.349932
80.804371,-23.186717
80.902554,-29.321945
81.000736,-42.050284
81.098919,-30.029054
81.197102,-35.017944
81.295285,-37.327664
81.393467,-34.212176
81.491650,-25.870184
81.589833,-33.083310
81.688015,-43.713757
81.786198,-14.126667
81.884381,-17.673942
81.982563,-18.519640
82.080746,-28.291332
82.178929,-32.420958
82.277112,-26.993739
82.375294,-31.829255
82.473477,-37.005974
82.571660,-33.366459
82.669842,-24.522404
82.768025,-21.989033
82.866208,-11.441909
82.964391,-21.568940
83.062573,-19.829442
83.160756,-30.592547
83.258939,-17.034406
83.357121,-8.944260
83.455304,-2.537272
83.553487,-12.409713
83.651670,-10.689761
83.749852,-44.525617
83.848035,-38.013699
83.946218,-32.935793
84.044400,-33.807278
84.142583,-26.987267
84.240766,-8.758259
84.338949,-3.154175
84.437131,-23.839850
84.535314,-5.012051
84.633497,-18.442775
84.731679,-14.782432
84.829862,-10.808722
84.928045,-26.959479
85.026228,-14.704876
85.124410,-23.971137
85.222593,-19.346174
85.320776,-15.679668
85.418958,-29.863030
85.517141,-24.367247
85.615324,-40.894697
85.713506,-58.587546
85.811689,-45.177643
85.909872,-37.984327
86.008055,-39.300974
86.106237,-43.714438
86.204420,-39.309863
86.302603,-20.438599
86.400785,-29.865307
86.498968,-32.295194
86.597151,-20.532412
86.695334,-30.661145
86.793516,-22.968476
86.891699,-32.296365
86.989882,-32.498891
87.088064,-34.934775
87.186247,-19.334144
87.284430,-30.778746
87.382613,-33.800935
87.480795,-36.426629
87.578978,-34.320733
87.677161,-26.738002
87.775343,-25.951617
87.873526,-32.674217
87.971709,-23.489432
88.069892,-27.534841
88.168074,-25.810845
88.266257,-18.111719
88.364440,-14.422874
88.462622,-26.897823
88.560805,-17.383733
88.658988,-36.458497
88.757171,-27.291743
88.855353,-26.395324
88.953536,-43.080237
89.051719,-41.064903
89.149901,-35.698883
89.248084,-35.422241
89.346267,-30.238901
89.444449,-33.959308
89.542632,-42.409996
89.640815,-34.325549
89.738998,-34.071513
89.837180,-35.759894
89.935363,-47.218708
90.033546,-31.857780
90.131728,-29.453920
90.229911,-37.049823
90.328094,-23.264770
90.426277,-31.688644
90.524459,-27.185322
90.622642,-23.842456
90.720825,-25.333681
90.819007,-31.552627
90.917190,-15.277490
91.015373,-12.071534
91.113556,-18.178842
91.211738,-18.585945
91.309921,-28.030952
91.408104,-40.258001
91.506286,-28.055811
91.604469,-22.054091
91.702652,-5.521389
91.800835,-28.553649
91.899017,-37.732178
91.997200,-35.284958
92.095383,-17.714982
92.193565,-17.658182
92.291748,-41.422453
92.389931,-37.214424
92.488114,-31.018034
92.586296,-23.957819
92.684479,-12.441457
92.782662,-31.138593
92.880844,-33.369180
92.979027,-36.118714
93.077210,-20.331587
93.175393,-27.005981
93.273575,-43.166948
93.371758,-32.590367
93.469941,-38.258972
93.568123,-6.014597
93.666306,-2.637102
93.764489,-14.337133
93.862671,-10.711303
93.960854,-11.021359
94.059037,-19.185414
94.157220,-5.638552
94.255402,-22.279354
94.353585,-8.585289
94.451768,-16.548327
94.549950,-9.204965
94.648133,-22.915609
94.746316,-9.086448
94.844499,-4.740434
94.942681,-23.290152
95.040864,-12.466840
95.139047,-10.000126
95.237229,1.464793
95.335412,-1.317465
95.433595,-2.644592
95.531778,-17.758441
95.629960,-22.842610
95.728143,-11.721006
95.826326,-11.354928
95.924508,-29.381991
96.022691,-40.819082
96.120874,-33.169923
96.219057,-11.742565
96.317239,-20.197784
96.415422,-37.485082
96.513605,-42.675074
96.611787,-22.548670
96.709970,-19.110783
96.808153,-21.318647
96.906336,-28.522263
97.004518,-29.418692
97.102701,-24.511170
97.200884,-33.172125
97.299066,-33.889640
97.397249,-45.002726
97.495432,-24.733892
97.593614,-31.141925
97.691797,-22.328370
97.789980,-11.410457
97.888163,-18.225943
97.986345,-1.603599
98.084528,-6.591757
98.182711,-22.471760
98.280893,-9.006491
98.379076,-11.704366
98.477259,-14.566822
98.575442,-10.159344
98.673624,-18.299473
98.771807,-24.169821
98.869990,-37.495316
98.968172,-21.709617
99.066355,-16.700433
99.164538,-19.425527
99.262721,-30.874696
99.360903,-22.130392
99.459086,-10.464387
99.557269,-22.296034
99.655451,-22.575366
99.753634,-23.128285
99.851817,-17.178947
99.950000,-27.168971
100.048182,-21.468866
100.146365,-30.900782
100.244548,-24.873948
100.342730,-31.910471
100.440913,-24.587578
100.539096,-24.759387
100.637279,-29.375138
100.735461,-39.572467
100.833644,-34.811931
100.931827,-6.263475
101.030009,-12.297064
101.128192,-30.307750
101.226375,-17.446330
101.324557,-24.488371
101.422740,-7.459712
101.520923,-8.736774
101.619106,-14.728654
101.717288,-14.106957
101.815471,-5.625580
101.913654,-12.182679
102.011836,-36.111686
102.110019,-39.031208
102.208202,-42.441441
102.306385,-35.894852
102.404567,-25.616136
102.502750,-17.996894
102.600933,-38.631657
102.699115,-31.450521
102.797298,-41.764495
102.895481,-37.620964
102.993664,-25.573845
103.091846,-35.945033
103.190029,-37.177907
103.288212,-40.367731
103.386394,-25.357823
103.484577,-26.134518
103.582760,-27.429620
103.680943,-35.933292
103.779125,-41.753975
103.877308,-35.553455
103.975491,-37.598304
104.073673,-27.474267
104.171856,-22.416062
104.270039,-19.349854
104.368222,-28.255334
104.466404,-21.572484
104.564587,-14.664226
104.662770,-14.414737
104.760952,-27.721693
104.859135,-3.412376
104.957318,-1.572618
105.055501,-18.699209
105.153683,-9.847018
105.251866,-13.711702
105.350049,-29.556525
105.448231,-26.847266
105.546414,-14.497316
105.644597,-20.672308
105.742779,-22.985596
105.840962,-21.315594
105.939145,-19.577960
106.037328,-13.936793
106.135510,-9.555912
106.233693,-6.892938
106.331876,-19.239655
106.430058,-18.061247
106.528241,-3.662720
106.626424,-11.887438
106.724607,-5.248576
106.822789,-15.857867
106.920972,-13.517686
107.019155,-4.354196
107.117337,-19.880606
107.215520,-13.333029
107.313703,-20.136972
107.411886,-12.351066
107.510068,-32.093830
107.608251,-32.085683
107.706434,-37.602021
107.804616,-28.678586
107.902799,-28.642352
108.000982,-24.392784
108.099165,-15.421604
108.197347,-16.609855
108.295530,-20.667914
108.393713,-15.970382
108.491895,-27.732978
108.590078,-19.111456
108.688261,-11.577982
108.786444,-21.977621
108.884626,-26.961170
108.982809,-40.179859
109.080992,-31.476846
109.179174,-40.496263
109.277357,-22.711301
109.375540,-26.990893
109.473722,-20.721441
109.571905,-41.695184
109.670088,-29.949482
109.768271,-33.258770
109.866453,-43.363955
109.964636,-41.281386
110.062819,-38.100206
110.161001,-41.917294
110.259184,-40.693063
110.357367,-53.782385
110.455550,-47.887291
110.553732,-48.459225
110.651915,-45.385023
110.750098,-40.962137
110.848280,-43.539163
110.946463,-40.896423
111.044646,-50.442754
111.142829,-40.829338
111.241011,-28.688466
111.339194,-28.719626
111.437377,-41.143083
111.535559,-25.470205
111.633742,-49.397720
111.731925,-40.631206
111.830108,-33.668790
111.928290,-33.561250
112.026473,-25.013649
112.124656,-38.642699
112.222838,-24.255467
112.321021,-38.647708
112.419204,-32.681487
112.517387,-35.715396
112.615569,-29.401109
112.713752,-37.410905
112.811935,-46.636586
112.910117,-35.161027
113.008300,-49.967961
113.106483,-43.995037
113.204665,-34.673002
113.302848,-35.194433
113.401031,-42.791800
113.499214,-39.131678
113.597396,-29.305636
113.695579,-48.317321
113.793762,-51.800061
113.891944,-47.704351
113.990127,-36.417464
114.088310,-40.355678
114.186493,-28.088150
114.284675,-23.272343
114.382858,-27.508295
114.481041,-32.206223
114.579223,-34.307342
114.677406,-34.845479
114.775589,-37.899887
114.873772,-39.940009
114.971954,-36.508244
115.070137,-29.844126
115.168320,-9.337226
115.266502,-30.105655
115.364685,-20.346150
115.462868,-4.358126
115.561051,-22.307417
115.659233,-14.396323
115.757416,-23.050888
115.855599,-25.158901
115.953781,-24.101631
116.051964,-30.734580
116.150147,-30.950515
116.248330,-36.595969
116.346512,-27.785600
116.444695,-31.463940
116.542878,-39.911416
116.641060,-26.981645
116.739243,-25.771758
116.837426,-24.465833
116.935609,-19.233972
117.033791,-16.735571
117.131974,-27.828188
117.230157,-30.145839
117.328339,-19.579890
117.426522,-20.197292
117.524705,-33.165043
117.622887,-13.880477
117.721070,-32.364603
117.819253,-20.770936
117.917436,-18.991689
118.015618,-24.877808
118.113801,-21.472825
118.211984,-23.381059
118.310166,-27.881046
118.408349,-24.264118
118.506532,-23.656693
118.604715,-18.915247
118.702897,-24.244680
118.801080,-16.171388
118.899263,-31.555803
118.997445,-30.966656
119.095628,-37.495193
119.193811,-38.596043
119.291994,-43.939129
119.390176,-40.403775
119.488359,-46.951579
119.586542,-39.292264
119.684724,-48.376709
119.782907,-40.791688
119.881090,-32.853884
119.979273,-26.627624
120.077455,-24.609941
120.175638,-29.697058
120.273821,-21.806856
120.372003,-26.703433
120.470186,-34.290757
120.568369,-39.999873
120.666552,-36.930893
120.764734,-32.724841
120.862917,-33.169631
120.961100,-27.899890
121.059282,-37.081030
121.157465,-40.506201
121.255648,-32.743563
121.353830,-20.644943
121.452013,-26.661108
121.550196,-33.371800
121.648379,-20.738978
121.746561,-26.716801
121.844744,-16.656762
121.942927,-20.949565
122.041109,-20.587071
122.139292,-27.783335
122.237475,-17.232940
122.335658,-7.628398
122.433840,-20.940831
122.532023,-34.163503
122.630206,-42.187009
122.728388,-23.000175
122.826571,-27.784428
122.924754,-21.627151
123.022937,-28.956036
123.121119,-36.822060
123.219302,-20.483901
123.317485,-28.304731
123.415667,-41.000001
123.513850,-24.994390
123.612033,-28.542841
123.710216,-11.525885
123.808398,-29.394887
123.906581,-28.503823
124.004764,-41.042755
124.102946,-47.638698
124.201129,-10.023034
124.299312,-30.786232
124.397495,-34.416448
124.495677,-36.195612
124.593860,-41.630221
124.692043,-21.910880
124.790225,-21.709618
124.888408,-21.500594
124.986591,-18.609881
125.084773,-22.606043
125.182956,-13.835391
125.281139,-16.071007
125.379322,-24.322784
125.477504,-21.271785
125.575687,-29.753897
125.673870,-22.371085
125.772052,-22.804329
125.870235,-26.701394
125.968418,-21.003456
126.066601,-22.373175
126.164783,-40.993646
126.262966,-28.175190
126.361149,-28.143451
126.459331,-24.558759
