Time(s),Axial drift (nm)
21.860930,-15.347772
21.910955,-44.006353
21.960980,-6.025599
22.011006,-35.404601
22.061031,3.373864
22.111056,-59.649096
22.161081,-34.456412
22.211106,-50.604061
22.261131,-6.178806
22.311156,-50.688841
22.361181,33.711778
22.411206,-34.578051
22.461231,0.048589
22.511256,1.414835
22.561281,5.350122
22.611306,-18.679644
22.661331,-8.867098
22.711356,-79.761981
22.761381,-67.566884
22.811406,-55.761336
22.861431,42.661793
22.911456,-7.790528
22.961481,11.056181
23.011506,25.003895
23.061531,-61.567954
23.111556,-17.876555
23.161581,47.717421
23.211606,-60.989833
23.261631,-36.079207
23.311656,-12.735970
23.361681,-19.472327
23.411706,-43.059222
23.461731,-28.531662
23.511756,21.694397
23.561781,-63.813623
23.611806,-19.896113
23.661831,1.964699
23.711856,-5.752737
23.761881,-28.307703
23.811906,-30.832609
23.861931,-39.976360
23.911956,-24.293065
23.961981,-10.994095
24.012006,7.014335
24.062031,27.225803
24.112056,-62.060495
24.162081,-19.542791
24.212106,-32.014923
24.262131,-90.320439
24.312156,12.729717
24.362181,28.660295
24.412206,21.856022
24.462231,1.133071
24.512256,0.294390
24.562281,58.858556
24.612306,-12.864052
24.662331,48.131624
24.712356,-32.784666
24.762381,25.410193
24.812406,-70.162101
24.862431,-49.907701
24.912456,-33.228363
24.962481,-4.943846
25.012506,-33.426812
25.062531,6.201845
25.112556,-42.043154
25.162581,17.178923
25.212606,7.767997
25.262631,16.907360
25.312656,-5.972873
25.362681,-12.031077
25.412706,-11.622556
25.462731,-39.525053
25.512756,9.575726
25.562781,-36.043439
25.612806,62.199904
25.662831,55.885178
25.712856,4.770865
25.762881,-32.902157
25.812906,18.445177
25.862931,-3.339178
25.912956,-35.913705
25.962981,37.478785
26.013007,21.106598
26.063032,39.224173
26.113057,3.060379
26.163082,-33.815281
26.213107,-17.627538
26.263132,36.529724
26.313157,-1.820170
26.363182,-0.629288
26.413207,-14.679029
26.463232,-4.511035
26.513257,14.902727
26.563282,-75.262789
26.613307,67.778319
26.663332,30.861391
26.713357,7.574937
26.763382,-8.063012
26.813407,-0.067218
26.863432,-7.898713
26.913457,60.470365
26.963482,-50.445036
27.013507,-18.804894
27.063532,-88.982752
27.113557,70.129764
27.163582,18.436475
27.213607,38.385475
27.263632,-14.680980
27.313657,3.127105
27.363682,-33.262025
27.413707,-24.638856
27.463732,-51.669807
27.513757,-28.093573
27.563782,10.905980
27.613807,-18.089480
27.663832,-24.495558
27.713857,16.594042
27.763882,-10.891768
27.813907,-3.402667
27.863932,24.423032
27.913957,-49.880090
27.963982,28.657910
28.014007,48.566958
28.064032,-30.637303
28.114057,49.941517
28.164082,-14.230124
28.214107,42.505472
28.264132,24.523210
28.314157,39.467426
28.364182,-24.855238
28.414207,29.007186
28.464232,4.449004
28.514257,19.888576
28.564282,-20.551778
28.614307,39.797648
28.664332,36.530503
28.714357,83.326921
28.764382,9.370865
28.814407,80.796081
28.864432,12.740544
28.914457,-56.570889
28.964482,-0.499269
29.014507,40.086368
29.064532,81.959814
29.114557,-1.005271
29.164582,-36.437469
29.214607,-9.740437
29.264632,35.393916
29.314657,32.074980
29.364682,27.808250
29.414707,-53.901468
29.464732,4.985345
29.514757,-14.278762
29.564782,-49.404841
29.614807,-19.639933
29.664832,-22.251186
29.714857,-27.840249
29.764882,-38.673569
29.814907,-28.640841
29.864932,-10.279173
29.914957,35.961586
29.964982,95.124971
30.015008,41.513247
30.065033,14.156542
30.115058,43.155038
30.165083,-84.277172
30.215108,-19.465323
30.265133,26.661127
30.315158,-5.179343
30.365183,-15.618313
30.415208,61.676659
30.465233,-20.361064
30.515258,-18.752381
30.565283,32.142442
30.615308,26.029324
30.665333,84.139275
30.715358,35.049241
30.765383,29.753758
30.815408,22.784730
30.865433,-15.316349
30.915458,85.628519
30.965483,-8.231333
31.015508,-9.654110
31.065533,-27.731176
31.115558,10.919483
31.165583,23.853040
31.215608,42.682461
31.265633,7.557437
31.315658,8.758294
31.365683,16.249741
31.415708,58.348222
31.465733,33.504264
31.515758,43.459913
31.565783,43.040242
31.615808,24.774937
31.665833,-1.275141
31.715858,60.258027
31.765883,4.804008
31.815908,123.128429
31.865933,19.300637
31.915958,27.027383
31.965983,-52.105263
32.016008,-10.485476
32.066033,-18.366296
32.116058,8.871378
32.166083,-26.779018
32.216108,-1.949766
32.266133,-38.355717
32.316158,80.111131
32.366183,19.252597
32.416208,-14.285689
32.466233,21.166789
32.516258,-8.468590
